#,Country,Cases in the last 7 days,Cases in the preceding  7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Weekly Case Change,Weekly Case Change/1M pop,Weekly Deaths Change,Weekly Deaths Change/1M pop,Population,Continent
133,Liechtenstein,0,1,-100%,0,0,0,0%,0,-1,-26,0,0,38387,Europe
134,Lithuania,331,392,-16%,124,5,1,+400%,2,-61,-23,4,2,2661708,Europe
10,Macao,3119,845,+269%,4673,1,0,+100%,1,2274,3407,1,1,667490,Asia
137,Madagascar,1,7,-86%,0,0,1,-100%,0,-6,-0.2,-1,0,29178077,Africa
9,Malaysia,0,5801,-100%,0,0,17,-100%,0,-5801,-175,-17,-0.5,33181072,Asia
139,Maldives,26,36,-28%,48,0,1,-100%,0,-10,-18,-1,-2,540985,Asia
140,Mali,2,0,+200%,0.1,0,0,0%,0,2,0.1,0,0,21473764,Africa
141,Malta,79,46,+72%,178,1,1,0%,2,33,74,0,0,444033,Europe
142,Marshall Islands,17,0,"+1,700%",283,0,0,0%,0,17,283,0,0,60057,Australia/Oceania
143,Martinique,0,75,-100%,0,0,2,-100%,0,-75,-200,-2,-5,374087,North America
145,Mauritius,58,76,-24%,45,1,0,+100%,0.8,-18,-14,1,0.8,1274727,Africa
147,Mexico,3595,5936,-39%,27,34,62,-45%,0.3,-2341,-18,-28,-0.2,131562772,North America
150,Moldova,55,0,"+5,500%",14,0,0,0%,0,55,14,0,0,4013171,Europe
151,Monaco,4,8,-50%,101,0,0,0%,0,-4,-101,0,0,39783,Europe
152,Mongolia,0,390,-100%,0,0,0,0%,0,-390,-115,0,0,3378078,Asia
153,Montenegro,45,15,+200%,72,1,0,+100%,2,30,48,1,2,627950,Europe
157,Myanmar,507,634,-20%,9,0,0,0%,0,-127,-2,0,0,55227143,Asia
23,Nepal,16,33,-52%,0.5,0,0,0%,0,-17,-0.6,0,0,30225582,Asia
162,New Zealand,1852,13136,-86%,378,2,25,-92%,0.4,-11284,-2304,-23,-5,4898203,Australia/Oceania
166,Niue,9,9,0%,5549,0,0,0%,0,0,0,0,0,1622,Australia/Oceania
168,Norway,434,418,+4%,79,0,0,0%,0,16,3,0,0,5511370,Europe
170,Pakistan,64,46,+39%,0.3,0,0,0%,0,18,0.1,0,0,229488994,Asia
171,Panama,1588,0,"+158,800%",357,1,0,+100%,0.2,1588,357,1,0.2,4446964,North America
173,Paraguay,246,411,-40%,34,3,10,-70%,0.4,-165,-23,-7,-1,7305843,South America
174,Peru,0,379,-100%,0,0,29,-100%,0,-379,-11,-29,-0.9,33684208,South America
24,Philippines,9106,11667,-22%,81,10,0,+1%,0.1,-2561,-23,10,0.1,112508994,Asia
175,Poland,385,510,-25%,10,8,13,-38%,0.2,-125,-3,-5,-0.1,37739785,Europe
176,Portugal,0,2451,-100%,0,0,58,-100%,0,-2451,-242,-58,-6,10140570,Europe
177,Qatar,486,1254,-61%,163,0,0,0%,0,-768,-258,0,0,2979915,Asia
179,Romania,1841,2379,-23%,97,12,29,-59%,0.6,-538,-28,-17,-0.9,19031335,Europe
19,Russia,11276,17118,-34%,77,138,183,-25%,0.9,-5842,-40,-45,-0.3,145805947,Europe
6,South Korea,135703,105688,+28%,2644,70,79,-11%,1,30015,585,-9,-0.2,51329899,Asia
183,St. Kitts and Nevis,0,2,-100%,0,0,0,0%,0,-2,-37,0,0,53871,North America
185,Saint Martin,0,3,-100%,0,0,0,0%,0,-3,-76,0,0,39730,North America
189,San Marino,22,16,+38%,645,0,0,0%,0,6,176,0,0,34085,Europe
